title,author,average_rating,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publisher,year
The Hunchback of Notre-Dame,Victor Hugo,4.0,9780345472427,en-US,534.0,140,22,Modern Library,2004
La Cucina Di Lidia: Recipes and Memories from Italy's Adriatic Coast,Lidia Matticchio Bastianich,4.14,9780767914222,en-GB,288.0,48,3,Clarkson Potter,2003
Breach of Promise,James Scott Bell,4.0,9780310243878,eng,345.0,368,36,Zondervan,2004
Brief Interviews with Hideous Men,David Foster Wallace,3.86,9780349111889,eng,273.0,18335,1155,Abacus,2000
The Killing Dance (Anita Blake  Vampire Hunter  #6),Laurell K. Hamilton,4.13,9780425209066,en-US,368.0,59524,946,Berkley Hardcover,2006
The Hand of Chaos (The Death Gate Cycle  #5),Margaret Weis,4.06,9780553563696,eng,446.0,16301,117,Spectra,1993
On Intelligence,Jeff Hawkins,4.12,9780805078534,eng,261.0,5347,396,St. Martin's Griffin,2005
The Summit (Everest  #3),Gordon Korman,3.96,9780439411370,eng,154.0,2584,106,Scholastic Paperbacks,2002
Where I Was From,Joan Didion,3.86,9780679752868,eng,240.0,2842,292,Vintage,2004
A Sentimental Education,Gustave Flaubert,3.83,9780192836229,eng,464.0,105,7,Oxford University Press,2000
The Well At The World's End: Volume I,William Morris,3.81,9781587150883,en-US,332.0,257,22,Borgo Press,2000
Merlin's Tour of the Universe,Neil deGrasse Tyson,4.02,9780385488358,eng,318.0,305,27,Main Street Books,1997
Bradbury Stories: 100 of His Most Celebrated Tales,Ray Bradbury,4.41,9780060544881,eng,912.0,5161,184,William Morrow Paperbacks,2005
Fire in the Minds of Men: Origins of the Revolutionary Faith,James H. Billington,4.54,9780765804716,eng,677.0,96,9,Basic Books,1980
On Vital Reserves,William  James,4.5,9780870611513,eng,58.0,3,1,Christian Classics,1988
It's Kind of a Funny Story,Ned Vizzini,4.13,9780786851966,eng,444.0,704,111,Disney-Hyperion,2006
Novels and Stories 1932–1937: The Pastures of Heaven / To a God Unknown / Tortilla Flat / In Dubious Battle / Of Mice and Men,John Steinbeck,4.35,9781883011017,eng,909.0,371,25,Library of America,1994
Gumbo Ya-Ya: A Collection of Louisiana Folk Tales,Lyle Saxon,4.04,9780882896458,eng,640.0,307,23,Pelican Publishing,1987
On Christian Doctrine,Augustine of Hippo,4.03,9780024021502,eng,191.0,2335,67,Library of Liberal Arts,1958
The Beleaguered City: The Vicksburg Campaign,Shelby Foote,4.22,9780679601708,eng,368.0,271,25,Modern Library,2000
Gimpel the Fool: And Other Stories,Isaac Bashevis Singer,4.16,9780374500528,eng,205.0,37,4,Farrar Straus Giroux,1988
Los funerales de la Mamá Grande,Gabriel García Márquez,3.78,9780307350329,spa,160.0,4694,133,Plaza y Janes,2006
What Came Before He Shot Her (Inspector Lynley  #14),Elizabeth  George,3.56,9780060545628,eng,560.0,6669,668,Harper,2006
The Portable Thomas Jefferson,Thomas Jefferson,4.05,9780140150803,eng,589.0,171,6,Penguin Classics,1977
The Mammoth Book of Golden Age Science Fiction: Ten Classic Stories from the Birth of Modern Science Fiction Writing,Isaac Asimov,3.93,9780786719051,en-US,512.0,128,12,Running Press,2007
Open Secrets,Alice Munro,4.07,9780679755623,eng,304.0,4038,297,Vintage,1995
The Stranger,Caroline B. Cooney,3.53,9780590456807,eng,198.0,55,11,Scholastic,1993
