Advertising Expenditure,Campaign Engagement Score,Discount Percentage,Average Customer Rating,Product Price,Return Rate,Length of Product Description,Region,Popularity,Sales
644.0493171,54.56553148,25.26715054,4.604634404,1599.575723,2.133580341,231.1853893,East,High,26246.91291
521.4832938,46.87522598,35.07585925,4.358693462,1586.464404,1.553437074,262.6869306,West,Very High,21432.16935
540.0795105,42.28714458,12.61838098,4.571017818,1301.644856,2.27489074,324.3473188,South,Very High,22551.92436
627.938419,61.82544111,31.58844523,4.234209014,1601.041884,1.035970828,447.7109837,South,Very High,27792.29446
471.1499479,31.06151205,9.198990919,4.816215152,1496.734345,3.276839883,310.0553329,East,Moderate,17354.77148
684.4143703,47.0444172,33.73514521,4.113450517,1762.967088,0.724943542,294.055684,East,Low,22036.29972
561.841254,23.96743302,30.30408917,4.600326967,1009.07918,2.849419936,254.241587,South,Moderate,25327.26897
618.5231045,45.31244581,34.53257025,4.281039011,1535.387148,1.029102608,257.5992749,East,Moderate,22195.81907
662.9010424,62.795905,28.6848254,4.373270717,948.2829966,1.136505891,171.0196177,North,Very High,30999.56474
660.5799504,68.02610402,28.72279487,4.567795816,1370.186604,2.214950597,322.8298923,South,Very High,27677.20574
590.7240462,58.62459142,31.19418436,4.771641355,1179.399842,3.097905117,270.0397645,North,Very High,24188.37634
592.2570913,67.56451987,29.83306024,4.051648064,1300.179995,0.579201194,258.2961282,West,Low,24122.86501
633.614262,49.61761519,32.68511843,4.456552297,1796.412645,1.982522787,238.3768682,East,Moderate,20636.08109
610.2176918,58.32095059,28.35821562,4.421864726,1248.956739,1.583457153,161.4135677,South,Very High,23628.36269
651.8119753,39.42898327,29.58798129,4.148728986,1479.747148,0.72653549,232.3945753,South,Low,21157.61968
681.7191578,70.08852515,32.18181131,4.504853365,1523.320701,2.100438282,173.6654424,East,Very High,27076.35868
641.5786972,40.59438656,32.2664499,4.137105109,1437.750457,0.73774705,210.915246,North,Low,24265.80358
611.1655406,51.96422405,28.56348962,4.385056608,1548.270382,1.827521989,211.8409914,West,High,23258.64171
611.6385343,51.89932218,24.20802233,4.409709464,1454.674539,0.989256012,261.6455429,South,Moderate,22083.32258
639.1919964,57.64546206,24.25926534,4.332976084,1489.428963,1.265154473,368.9964133,South,Moderate,21899.07664
578.9915903,47.10430871,29.3874502,4.214263399,1649.857799,1.436923355,273.6445026,South,High,24000.31124
583.0036895,57.68720959,27.76497393,4.553213158,1531.057129,2.239872902,331.3240347,East,Very High,21466.06276
663.1667606,63.10433872,25.66155063,4.202953061,1509.38911,0.844231903,289.7660441,North,High,24221.58731
396.6317094,31.50802163,23.88372192,4.490894993,1189.210278,1.901167981,234.5095772,East,High,14165.41286
712.8114605,66.61747227,35.75648065,4.344506792,1438.486695,1.174614897,169.2385259,East,Very High,27337.9697
609.9999917,38.39396225,33.23819583,4.381864429,1644.27735,1.122667901,324.1892307,East,Moderate,21939.11213
662.0114527,47.66117258,33.52835823,4.482615166,1488.835855,2.076786522,276.3501132,North,High,25128.82141
527.4133347,21.92163841,29.73919751,4.160309354,1219.942532,1.173831078,294.5965111,East,Low,20781.56578
669.8650197,53.53698858,35.79081732,4.314233431,1550.471157,1.027687319,230.1532298,South,High,23848.58944
681.6023363,57.01466419,33.20042411,4.416347146,1633.188484,1.564673104,304.0565428,North,High,25982.74163
504.0146199,50.4362365,26.59115269,4.276368312,1285.608451,0.604088551,326.5905462,East,Very High,22435.69739
681.6867587,58.72313171,35.282211,4.251150042,1638.739754,1.199242157,333.5943637,East,Moderate,26790.63365
553.9103688,52.56680214,27.91432592,4.52378005,1424.913185,1.747176243,126.3664856,West,High,22142.81569
554.6755497,34.20590677,32.32582033,4.16672762,1540.052901,0.334660217,260.6077673,West,Low,17968.8895
673.4474131,56.42864196,24.64424086,3.95875422,1658.436346,0.826436256,331.94269,East,Low,26529.69403
590.2816163,54.5786164,28.55406552,4.366575071,1005.069909,1.219907444,204.0100545,East,Very High,23958.40203
656.9297672,58.30980929,27.707262,4.526127545,1497.086777,2.082717116,275.1517771,West,Moderate,27477.33719
739.2552771,59.55664852,33.87260892,4.810468756,1503.544958,3.814330456,382.0391347,West,Very High,26296.15889
642.6246654,66.56492983,28.08440969,4.412444604,1636.460272,1.042524505,289.856466,South,Moderate,22141.39474
670.0834555,65.69571065,25.64914938,4.179517238,1730.443723,0.425621382,223.9697589,North,Low,21805.19623
591.2597145,36.08510555,23.89767333,3.883161954,1502.429227,0.51890154,312.350028,South,Low,22236.27621
651.7453599,49.54031155,24.46684144,4.394612235,1608.661749,0.96824776,172.168207,West,Moderate,23894.32188
609.1624496,47.8426319,28.77683377,4.667011958,1552.415137,3.176532314,417.0992306,East,Very High,21188.41025
679.5686729,70.26411215,35.43569441,4.021989674,1567.061075,0.345973998,256.0004263,East,Low,25434.72265
691.494749,59.58343531,31.36037635,4.294786477,1608.336507,1.302485777,274.7905286,West,Very High,25621.33331
691.3542879,66.46241173,35.19092637,4.370819388,1323.64871,1.810345261,245.4562563,West,Very High,27500.92702
662.5535974,61.13301645,23.75347193,4.312851391,1286.149147,0.831129403,174.5829712,West,High,27915.21141
652.7694324,57.7433619,31.07401551,4.60107896,1061.644174,2.331716594,94.7231781,South,Moderate,28561.63401
739.5343978,75.90251241,34.48077977,4.556106437,1204.034248,2.743493648,298.7387452,South,Very High,31409.83287
563.6778539,43.56666193,19.29858963,4.017955085,1544.146713,0.584396539,297.9908727,East,Low,16128.73131
593.6884639,66.08295894,31.81189249,4.402492203,1483.299408,2.045214301,308.6752572,North,High,24120.51373
404.4558832,34.09937959,24.74052609,4.583273054,981.7184838,1.716399408,308.4682829,West,Moderate,21859.25093
589.0454267,40.73801972,25.76830703,4.448175519,1495.889022,1.329914833,185.7899827,West,High,22447.27604
351.5681116,31.18439585,26.70108977,4.055964116,1475.701838,1.052501372,364.0680057,East,Low,11942.03131
722.7691554,72.35983631,32.85520686,4.612920023,1405.44019,2.630754578,289.9286762,West,Moderate,29529.99712
622.7787458,56.01638012,28.3986298,4.210232308,1433.502642,0.550061437,175.1426493,East,Very High,26382.51125
676.09071,40.21555616,28.83124563,4.159637246,1395.87753,1.1241749,184.3718968,North,Low,24098.40637
